section	year	date	type	content	venue	title	file	source_url
by	2011	2011-12-11	blog-post	full-text	anildash.com	Questions for the Republican Candidates	2011--questions-for-the-republican-candidates.md	https://anildash.com/2011/12/11/questions-for-the-republican-candidates/
by	2011	2011-11-23	blog-post	full-text	anildash.com	Gaslighting: The Response	2011--gaslighting-the-response.md	https://anildash.com/2011/11/22/gaslighting-the-response/
by	2011	2011-11-21	blog-post	full-text	anildash.com	Facebook is gaslighting the web. We can fix it.	2011--facebook-is-gaslighting-the-web.md	https://anildash.com/2011/11/21/facebook-is-gaslighting-the-web/
by	2011	2011-11-17	blog-post	full-text	anildash.com	Readability And Intention	2011--readability-and-intention.md	https://anildash.com/2011/11/17/readability-and-intention/
by	2011	2011-11-16	blog-post	full-text	anildash.com	ThinkUp 1.0 and Software With Purpose	2011--thinkup-1-0.md	https://anildash.com/2011/11/15/thinkup-1-0/
by	2011	2011-11-14	blog-post	full-text	anildash.com	Mixel: Art and Soul	2011--mixel-art-and-soul.md	https://anildash.com/2011/11/14/mixel-art-and-soul/
by	2011	2011-11-09	blog-post	full-text	anildash.com	How the 99% and the Tea Party can Occupy WhiteHouse.gov	2011--how-the-99-and-the-tea-party-can-occupy-whitehousegov.md	https://anildash.com/2011/11/09/how-the-99-and-the-tea-party-can-occupy-whitehousegov/
by	2011	2011-11-05	blog-post	full-text	anildash.com	Thank You, Andy	2011--thank-you-andy.md	https://anildash.com/2011/11/05/thank-you-andy/
by	2011	2011-10-17	blog-post	full-text	anildash.com	Startup U	2011--startup-u.md	https://anildash.com/2011/10/17/startup-u/
by	2011	2011-09-16	blog-post	full-text	anildash.com	Recognizing The Maker Movement	2011--recognizing-the-maker-movement.md	https://anildash.com/2011/09/16/recognizing-the-maker-movement/
by	2011	2011-09-12	blog-post	full-text	anildash.com	Ten is Love and Everything After	2011--ten-is-love-and-everything-after.md	https://anildash.com/2011/09/11/ten-is-love-and-everything-after/
by	2011	2011-09-07	blog-post	full-text	anildash.com	If You Blogged It, It Did Happen	2011--if-you-blogged-it-it-did-happen.md	https://anildash.com/2011/09/06/if-you-blogged-it-it-did-happen/
by	2011	2011-09-02	blog-post	full-text	anildash.com	The Goal	2011--the-goal.md	https://anildash.com/2011/09/02/the-goal/
by	2011	2011-08-25	blog-post	full-text	anildash.com	A Decade After Aaliyah	2011--a-decade-after-aaliyah.md	https://anildash.com/2011/08/25/a-decade-after-aaliyah/
by	2011	2011-08-19	blog-post	full-text	anildash.com	What they're "protecting" us from	2011--what-theyre-protecting-us-from.md	https://anildash.com/2011/08/19/what-theyre-protecting-us-from/
by	2011	2011-07-29	blog-post	full-text	anildash.com	Networks, Tools and Algorithms	2011--networks-tools-and-algorithms.md	https://anildash.com/2011/07/29/networks-tools-and-algorithms/
by	2011	2011-07-26	blog-post	full-text	anildash.com	If your website's full of anonymity, that might be okay	2011--if-your-websites-full-of-anonymity-that-might-be-okay.md	https://anildash.com/2011/07/26/if-your-websites-full-of-anonymity-that-might-be-okay/
by	2011	2011-07-20	blog-post	full-text	anildash.com	If your website's full of assholes, it's your fault	2011--if-your-websites-full-of-assholes-its-your-fault.md	https://anildash.com/2011/07/20/if-your-websites-full-of-assholes-its-your-fault-2/
by	2011	2011-07-18	blog-post	full-text	anildash.com	The Busta	2011--the-busta.md	https://anildash.com/2011/07/18/the-busta/
by	2011	2011-07-12	blog-post	full-text	anildash.com	Animated GIFs Triumphant	2011--animated-gifs-triumphant.md	https://anildash.com/2011/07/12/animated-gifs-triumphant/
by	2011	2011-06-23	blog-post	full-text	anildash.com	The Virtual Startup: Taking Flight	2011--the-virtual-startup-taking-flight.md	https://anildash.com/2011/06/22/the-virtual-startup-taking-flight/
by	2011	2011-06-09	blog-post	full-text	anildash.com	All In Favor	2011--all-in-favor.md	https://anildash.com/2011/06/09/all-in-favor/
by	2011	2011-06-07	blog-post	full-text	anildash.com	Out In The World	2011--out-in-the-world.md	https://anildash.com/2011/06/07/out-in-the-world/
by	2011	2011-06-06	blog-post	full-text	anildash.com	Baby Boot Camp	2011--infant-as-boot-camp.md	https://anildash.com/2011/06/06/infant-as-boot-camp/
by	2011	2011-06-01	blog-post	full-text	anildash.com	Redefining The Problem	2011--redefining-the-problem.md	https://anildash.com/2011/06/01/redefining-the-problem/
by	2011	2011-06-01	blog-post	full-text	anildash.com	Apple's Twitter	2011--apples-twitter.md	https://anildash.com/2011/05/31/apples-twitter/
by	2011	2011-05-17	blog-post	full-text	anildash.com	In NYC, the Web is a Public Space	2011--in-nyc-the-web-is-a-public-space.md	https://anildash.com/2011/05/16/in-nyc-the-web-is-a-public-space/
by	2011	2011-05-11	blog-post	full-text	anildash.com	Sparking Innovation	2011--sparking-innovation.md	https://anildash.com/2011/05/10/sparking-innovation/
by	2011	2011-04-25	blog-post	full-text	anildash.com	Suggestions for LinkedIn	2011--suggestions-for-linkedin.md	https://anildash.com/2011/04/25/suggestions-for-linkedin/
