date	title	url	tags
2020-08-21	I’m Asking My Friends on the Left to Vote for Joe Biden	https://anildash.com/2020/08/21/im-asking-my-friends-on-the-left-to-vote-for-joe-biden/	culture|policy
2020-07-21	A Federal Blue Checkmark, and Not Learning Lessons	https://anildash.com/2020/07/21/a-federal-blue-checkmark-wont-solve-online-speech-obviously/	culture|tech|twitter|web|facebook
2020-07-12	The American Death Cult	https://anildash.com/2020/07/11/the-american-death-cult/	culture|america|best of|policy
2020-06-24	Beyond the Frontier	https://anildash.com/2020/06/24/beyond-the-frontier/	culture|eff|tech|free speech|innovation
2020-05-14	Prince & The Revolution: The COVID-19 Solidarity Response Fund Livestream	https://anildash.com/2020/05/13/live-prince-and-the-revolution/	music|prince
2020-05-07	When Every App Crashes	https://anildash.com/2020/05/07/when-everything-crashes/	culture|software|tech|web|iphone
2020-04-22	Questlove's Prince Tribute	https://anildash.com/2020/04/22/questloves-prince-tribute/	music|prince|questlove
2020-03-11	My thinking on Covid-19	https://anildash.com/2020/03/11/my-thinking-on-covid-19/	culture|9/11|best of|america
2019-12-24	The People's Web	https://anildash.com/2019/12/23/the-peoples-web/	culture|tech|web|wikipedia|internet
2019-12-10	“Link In Bio” is a slow knife	https://anildash.com/2019/12/10/link-in-bio-is-how-they-tried-to-kill-the-web/	culture|design|tech|web|best of
2019-12-09	Podcast of the Year: Function	https://anildash.com/2019/12/09/podcast-of-the-year-function/	podcast|culture|apple
2019-11-21	A primer on South Asians and Desis	https://anildash.com/2019/11/21/a-primer-on-south-asians-and-desis/	culture|identity|south asians
2019-11-12	The Sound Of Your Voice	https://anildash.com/2019/11/11/the-sound-of-your-voice/	culture|music|prince|tech|web
2019-10-02	Every Day, A Little Better	https://anildash.com/2019/10/02/every-day-a-little-better/	personal
2019-09-11	Eighteen is History	https://anildash.com/2019/09/11/eighteen-is-history/	nyc|9/11|america|history|politics
2019-07-23	20 Years of Blogging: What I’ve Learned	https://anildash.com/2019/07/23/20-years-of-blogging-what-ive-learned/	blogs|culture|best of|personal
2019-05-22	Putting the Soul in Console	https://anildash.com/2019/05/22/putting-the-soul-in-console/	culture|tech|software|startups
2019-01-21	I Should Have Written a JOMO Book.	https://anildash.com/2019/01/21/i-should-have-written-a-jomo-book/	culture|social media|personal
2019-01-03	After the Rhythm Nation	https://anildash.com/2019/01/03/after-the-rhythm-nation/	culture|janet jackson|music|pop culture
2018-11-28	Every Single Video Prince Ever Made	https://anildash.com/2018/11/28/every-single-video-prince-ever-made/	music|prince|identity|music industry|best of
2018-11-11	A Murmuration of Starlings	https://anildash.com/2018/11/11/a-murmuration-of-starlings/	video|youtube|animation|media
2018-10-04	We’re (still) not being alarmist enough about climate change	https://anildash.com/2018/10/04/were-still-not-being-alarmist-enough-about-climate-change/	nyc|9/11|policy
2018-09-13	The price of relevance is fluency	https://anildash.com/2018/09/13/the-price-of-relevance-is-fluency/	culture|aesthetics|advertising|anthropology|community
2018-09-11	Seventeen is (Almost) Just Another Day	https://anildash.com/2018/09/11/seventeen-is-almost-just-another-day/	nyc|9/11|america
2018-08-03	A Much Faster Way to Charge your iPhone	https://anildash.com/2018/08/03/a-much-faster-way-to-charge-your-iphone-x/	apple|iphone|tech
