year	title	type	venue	doi	openalex_id	merged_openalex_ids	cited_by_count	is_oa	n_authors	content	source_url	file	note
2017	Variations in the relationship between memory confidence and memory accuracy: The effects of spontaneous accessibility, list length, modality, and complexity.	article	Psychology of Consciousness Theory Research and Practice	https://doi.org/10.1037/cns0000117	W2604861058		8	False	5	abstract-only	https://doi.org/10.1037/cns0000117	by/2017--variations-relationship-between-memory-confidence-memory-accuracy-effects-spontaneous.md	
2017	When outgroup negativity trumps ingroup positivity: Fans of the Boston Red Sox and New York Yankees place greater value on rival losses than own-team gains	article	Group Processes & Intergroup Relations	https://doi.org/10.1177/1368430217712834	W2737269787		23	False	3	abstract-only	https://doi.org/10.1177/1368430217712834	by/2017--when-outgroup-negativity-trumps-ingroup-positivity-fans-boston-red.md	site PDF failed validation (overlap 0.32, alpha 0.93)
2016	(At least) two factors moderate the relationship between implicit and explicit attitudes	preprint		https://doi.org/10.31234/osf.io/fv6bw	W2785691077	W4409656390	14	True	2	full-text	https://doi.org/10.31234/osf.io/fv6bw	by/2016--least-two-factors-moderate-relationship-between-implicit-explicit-attitudes.md	
2016	A Decade of System Justification Theory: Accumulated Evidence of Conscious and Unconscious Bolstering of the Status Quo	preprint		https://doi.org/10.31234/osf.io/6ue35	W4241492819	W7110714149	124	True	3	full-text	https://doi.org/10.31234/osf.io/6ue35	by/2016--decade-system-justification-theory-accumulated-evidence-conscious-unconscious-bolstering.md	
2016	A Unified Theory of Implicit Attitudes, Stereotypes, Self-Esteem, and Self-Concept	preprint		https://doi.org/10.31234/osf.io/xgswc	W4241716651	W4409656751|W7160361435|W7110572826	17	True	6	full-text	https://doi.org/10.31234/osf.io/xgswc	by/2016--unified-theory-implicit-attitudes-stereotypes-self-esteem-self-concept.md	
2016	Cognition can affect perception: Restating the evidence of a top-down effect	article	Behavioral and Brain Sciences	https://doi.org/10.1017/s0140525x15002642	W2584796882		16	False	3	full-text	https://banaji.sites.fas.harvard.edu/research/publications/articles/2016_Levin_BBS.pdf	by/2016--cognition-can-affect-perception-restating-evidence-top-down-effect.md	
2016	Contextual Variations in Implicit Evaluation	preprint		https://doi.org/10.31234/osf.io/pv8yv	W4254032901	W7110547939	29	True	3	full-text	https://doi.org/10.31234/osf.io/pv8yv	by/2016--contextual-variations-implicit-evaluation.md	
2016	Evaluative statements are more effective than evaluative pairings in shifting implicit attitudes	preprint	OSF Preprints (OSF Preprints)	https://doi.org/10.17605/osf.io/str38	W2778609382		0	True	2	EXCLUDED			OSF project component (data, code, materials or IAT dataset release), not a written work
2016	Go/No-go Association Task	preprint		https://doi.org/10.31234/osf.io/37sy3	W4293776776		53	False	2	full-text	https://doi.org/10.31234/osf.io/37sy3	by/2016--go-no-go-association-task.md	
2016	Harvesting implicit group attitudes and beliefs from a demonstration website	preprint		https://doi.org/10.31234/osf.io/fe8yr	W4249716627	W4409656331|W7110554573	59	True	3	full-text	https://doi.org/10.31234/osf.io/fe8yr	by/2016--harvesting-implicit-group-attitudes-beliefs-demonstration-website.md	
