id	year	type	title	venue	doi	is_oa	cited	has_abstract	status	authors	pdf	landing
W1997871319	2015	article	Beyond authorship: attribution, contribution, collaboration, and credit	Learned Publishing	https://doi.org/10.1087/20150211	True	675	True	include	Amy Brand; Liz Allen; Micah Altman; Marjorie Hlava; Jo Scott	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1087/20150211	https://doi.org/10.1087/20150211
W4394298984	2015	dataset	Demographics and education of scholarly publishing professionals	Figshare	https://doi.org/10.6084/m9.figshare.1424476	True	0	True	include	Amy Brand; Albert N. Greco; Robert M. Wharton		https://doi.org/10.6084/m9.figshare.1424476
W2203688119	2015	dataset	Demographics and education of scholarly publishing professionals	Figshare	https://doi.org/10.6084/m9.figshare.1424476.v1	True	0	True	duplicate of W4394298984	Amy Brand; Greco Albert; Wharton Robert		https://doi.org/10.6084/m9.figshare.1424476.v1
W2256305528	2014	article	Conception of a Reliable Low Cost and Autonomous Explorative Hovercraft	Zenodo (CERN European Organization for Nuclear Research)	https://doi.org/10.5281/zenodo.2825810	True	1	True	excluded: wrong-person (hovercraft engineering)	S. Burgalat; L. Teilhac; Amy Brand; E. Chastel; M. Jumeline		https://zenodo.org/record/2825810
W1967829734	2014	article	Publishing: Credit where credit is due	Nature	https://doi.org/10.1038/508312a	True	365	False	include	Liz Allen; Jo Scott; Amy Brand; Marjorie M.K. Hlava; Micah Altman	https://www.nature.com/articles/508312a.pdf	https://doi.org/10.1038/508312a
W347812210	2014	article	Quién hizo qué	Dialnet (Universidad de la Rioja)		False	0	False	include	Liz Allen; Amy Brand; Jo Scott; Micah Altman; Marjorie M.K. Hlava		
W2105074198	2013	article	Faculty appointments and the record of scholarship	eLife	https://doi.org/10.7554/elife.00452	True	5	True	include	Amy Brand		https://doi.org/10.7554/elife.00452
W2185522899	2013	article	Faculty appointments and the record of scholarship Academic review committees would benefit from more details about the contributions made by individual researchers to papers with multiple authors, and also from more information about other types of scholarly communication.			False	0	False	duplicate of W2105074198	Amy Brand		
W2149869736	2011	article	Beyond mandate and repository, toward sustainable faculty self‐archiving	Learned Publishing	https://doi.org/10.1087/20120105	True	7	True	include	Amy Brand	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1087/20120105	https://doi.org/10.1087/20120105
W2181143429	2008	article	Key issue	Serials The Journal for the Serials Community	https://doi.org/10.1629/2154	True	0	True	include	Amy Brand	http://serials.uksg.org/articles/10.1629/2154/galley/1329/download/	https://doi.org/10.1629/2154
W7134942848	2008	article	CrossCheck: Plagiarism Screening from CrossRef	Editorial Office News	https://doi.org/10.18243/eon/2008.1.6.3	False	0	True	include	Amy Brand		
W2037629467	2007	editorial	From the Editors - PLAGIARISM DETECTION	IEEE Transactions on Aerospace and Electronic Systems	https://doi.org/10.1109/taes.2007.4383576	False	0	False	include	Amy Brand		
W2061047292	2007	article	Ethische Kriterienberatung für Entscheidungsträger in Institutionen der öffentlichen Gesundheit zur Vorsorge einer Pandemie mit einem neuartigen Influenza A Virus	Das Gesundheitswesen	https://doi.org/10.1055/s-2007-981675	False	11	True	excluded: wrong-person (public health, Helmut Brand)	Peter Schröder‐Bäck; Helmut Brand; Marleen Schröter; Amy Brand		
W4410379293	2007	other	Crossref Author ID meeting		https://doi.org/10.64000/mz7md-r1m43	True	0	True	include	Amy Brand		https://doi.org/10.64000/mz7md-r1m43
W2047560944	2007	article	CrossRef: Towards the future	Journal of Information Processing and Management	https://doi.org/10.1241/johokanri.50.558	True	0	False	include	Amy Brand; Transl. Remi KUMAGAI	https://www.jstage.jst.go.jp/article/johokanri/50/9/50_9_558/_pdf	https://doi.org/10.1241/johokanri.50.558
W2016324777	2006	article	Mini-profile: a day in the life of a business development executive	Serials The Journal for the Serials Community	https://doi.org/10.1629/1983	True	0	True	include	Amy Brand	http://serials.uksg.org/articles/10.1629/1983/galley/903/download/	https://doi.org/10.1629/1983
W2330315792	2006	article	CROSSREF	The Serials Librarian	https://doi.org/10.1300/j123v50n01_11	True	1	True	include	Amy Brand	https://www.tandfonline.com/doi/pdf/10.1300/J123v50n01_11?needAccess=true	https://doi.org/10.1300/j123v50n01_11
W2051145108	2005	article	CrossRef: beyond journal reference linking	Serials The Journal for the Serials Community	https://doi.org/10.1629/18199	True	1	True	include	Amy Brand; Chuck Kosher		https://doi.org/10.1629/18199
W4244711633	2005	reference-entry	CrossRef		https://doi.org/10.1201/9781420068030.ch13	False	1	False	include	Amy Brand		
W4233846761	2004	article	CrossRef Search	Serials The Journal for the Serials Community	https://doi.org/10.1629/17291	True	0	True	pre-2005 (out of window, listed only)	Amy Brand	http://serials.uksg.org/articles/10.1629/17291/galley/811/download/	https://doi.org/10.1629/17291
W2042580649	2004	article	CrossRef and the research experience	Learned Publishing	https://doi.org/10.1087/095315104323159658	True	4	True	pre-2005 (out of window, listed only)	Amy Brand	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1087/095315104323159658	https://doi.org/10.1087/095315104323159658
W4237733430	2004	article	Publishers Joining Forces through CrossRef	Serials Review	https://doi.org/10.1080/00987913.2004.10764869	False	1	True	pre-2005 (out of window, listed only)	Amy Brand		
W1974180108	2004	article	Publishers Joining Forces through CrossRef	Serials Review	https://doi.org/10.1016/j.serrev.2003.11.001	False	5	True	duplicate of W4237733430	Amy Brand		
W2035006990	2001	article	CrossRef Turns One	D-Lib Magazine	https://doi.org/10.1045/may2001-brand	True	10	False	pre-2005 (out of window, listed only)	Amy Brand		https://doi.org/10.1045/may2001-brand
W2730373912	2001	article	Representing Value as Digital Object: A Discussion of Transferability and Anonymity; Digital Library Initiatives of the Deutsche Forschungsgemeinschaft; CrossRef Turns One; Fermi National Accelerator Laboratory (Fermilab).	D-Lib Magazine		True	0	False	pre-2005 (out of window, listed only)	Robert E. Kahn; Patrice A. Lyons; Ewald Brahms; Amy Brand; Mieke van den Bergen		https://eric.ed.gov/?id=EJ633112
W2089684074	2000	article	Stiftungen - ein Instrument zur Umsetzung strategischer Ziele und Maßnahmen in Public Health	Das Gesundheitswesen	https://doi.org/10.1055/s-2000-10489	False	2	True	excluded: wrong-person (public health, Helmut Brand)	Amy Brand; Helmut Brand		
W4389141708	2023	report	The Case for Reform of Scientific Publishing	International Science Council	https://doi.org/10.24948/2023.14	True	0	False	include (found via raw_author_name sweep; not on the author profile)	Abdullah, Abrizah; Arunachalam, Subbiah; Babini, Dominique; Barbour, Michael; Bawa, Ahmed; Boulton, Geoffrey; Brand, Amy; Drury, Luke; Gatti, Rupert; Joseph, Heather; Owango, Joy; Qinglin, Wang	https://council.science/wp-content/uploads/2023/11/The-Case-for-Reform-for-Scientific-Publishing_2023.pdf	https://doi.org/10.24948/2023.14
