openalex_id	year	date	type	title	venue	doi	oa_status	cited_by_count	has_abstract	best_oa_pdf_url	best_oa_landing_url	authors
W2560789490	2016	2016-01-01	article	La guerra trasatlántica de la información: Europa defiende la privacidad	Foreign affairs: Latinoamérica		closed	0	yes			Henry Farrell; Abraham Newman
W2427837642	2016	2016-06-01	book-review	Undoing the Demos: Neoliberalism’s Stealth Revolution. Wendy Brown. Cambridge, MA: The Massachusetts Institute of Technology Press 2015. 296p. $29.95 - The Politics of Advanced Capitalism. Edited by Pablo Beramendi, Silja Häusermann, Herbert Kitschelt and Hanspieter Kriesi. New York: Cambridge University Press 2015. 472p. $94.99 cloth, $39.99 paper.	Perspectives on Politics	https://doi.org/10.1017/s1537592716000785	closed	0	yes			Henry Farrell
W2461706425	2016	2016-04-16	conference-paper	Keynesian Consensus and Dissensus during the Economic Crisis and after	the 23rd International Conference of Europeanists		closed	0	no			Henry Farrell
W2547902367	2016	2016-06-28	article	The Irish Question	Foreign Affairs		closed	0	no			Henry Farrell
W2525276069	2016	2016-06-24	article	Cross-National Policy Sequencing and Regulatory Interdependence	28th Annual Meeting		closed	0	no			Henry Farrell
W2481632968	2016	2016-06-01	article	Globalized Green Lanternism	Global Summitry	https://doi.org/10.1093/global/guw005	bronze	0	yes	https://academic.oup.com/globalsummitry/article-pdf/2/1/13/6946288/guw005.pdf	https://doi.org/10.1093/global/guw005	Henry Farrell
W7162539903	2016	2016-12-31	book-chapter	Postscript	The New Press eBooks	https://doi.org/10.1515/9781620970768-042	closed	0	no			Henry Farrell
W2279009008	2015	2015-07-01	article	Structuring power: business and authority beyond the nation state	Business and Politics	https://doi.org/10.1515/bap-2015-0007	closed	57	yes			Henry Farrell; Abraham L. Newman
W2512474073	2015	2015-12-14	article	The Transatlantic Data War	Foreign Affairs		closed	3	yes			Henry Farrell; Abraham L. Newman
W2245591238	2015	2015-11-11	other	Bernie Sanders Says Denmark Is Socialist. Forbes Magazine Says It’s the Most Business-Friendly Country. Who’s Right?: Interview	MPG.PuRe (Max Planck Society)		green	0	yes	http://hdl.handle.net/11858/00-001M-0000-0029-1D18-D	http://hdl.handle.net/11858/00-001M-0000-0029-1D18-D	Henry Farrell; Cathie Jo Martin; Kathleen Thelen
W2102779052	2014	2014-03-28	article	Domestic Institutions beyond the Nation-State: Charting the New Interdependence Approach	World Politics	https://doi.org/10.1017/s0043887114000057	closed	215	yes			Henry Farrell; Abraham L. Newman
W2105621639	2014	2014-08-10	article	The New Politics of Interdependence	Comparative Political Studies	https://doi.org/10.1177/0010414014542330	closed	65	yes			Henry Farrell; Abraham L. Newman
W2315192368	2014	2014-09-01	article	The Woodgrain of the Chessboard: A Response to Roy Germano	Perspectives on Politics	https://doi.org/10.1017/s1537592714001686	closed	18	yes			Henry Farrell
W1869829109	2014	2014-06-01	article	New Problems, New Publics? Dewey and New Media	Policy & Internet	https://doi.org/10.1002/1944-2866.poi363	closed	5	yes			Henry Farrell
W2285130405	2014	2014-01-01	article	El fin de la hipocresía: la política exterior estadounidense en la era de las filtraciones	Foreign affairs: Latinoamérica		closed	0	yes			Henry Farrell; Martha Finnemore
W800325425	2014	2014-06-24	other	Bailing Out Banks Is Not a Lucrative Business: Interview	MPG.PuRe (Max Planck Society)		green	0	yes	http://hdl.handle.net/11858/00-001M-0000-0019-F809-F	http://hdl.handle.net/11858/00-001M-0000-0019-F809-F	Henry Farrell; Cornelia Woll
W2577216486	2014	2014-05-19	article	Forget Me Not	Foreign Affairs		closed	0	no			Henry Farrell; Abraham L. Newman
W2095605739	2013	2013-03-15	article	Watching From Afar	American Behavioral Scientist	https://doi.org/10.1177/0002764213479373	closed	58	yes			Sean Aday; Henry Farrell; Deen Freelon; Marc Lynch; John Sides; Michael Dewar
W2542950811	2013	2013-11-01	article	The End of Hypocrisy	Foreign Affairs		closed	1	no			Henry Farrell; Martha Finnemore
W2160208583	2012	2012-05-11	article	The Consequences of the Internet for Politics	Annual Review of Political Science	https://doi.org/10.1146/annurev-polisci-030810-110815	closed	377	yes			Henry Farrell
W2246174221	2012	2012-03-30	book-chapter	Social Institutions Among Economists in the Wake of the Financial Crisis	Edward Elgar Publishing eBooks	https://doi.org/10.4337/9781849805810.00018	closed	0	yes			Henry Farrell
W4401419069	2012	2012-04-01	article	L’effet cocooning d’internet	Books	https://doi.org/10.3917/books.031.0034	closed	0	no			Henry Farrell
W3123896621	2012	2012-01-01	preprint	Social Institutions Among Economists in the Wake of the Financial Crisis	RePEc: Research Papers in Economics		closed	0	yes			Henry Farrell
W1494332909	2011	2011-01-01	preprint	Concensus, Dissensus and Economic Ideas: The Rise and Fall of Keynesianism During the Economic Crisis	RePEc: Research Papers in Economics	https://doi.org/10.22004/ag.econ.151527	green	33	yes	https://ageconsearch.umn.edu/record/151527/files/RSMG%20Working%20Paper%20P11_2.pdf	http://ageconsearch.umn.edu/record/151527	Henry Farrell; John Quiggin; Farrell, Henry; Quiggin, John
W2566272573	2011	2011-06-01	article	How to save the Euro - and the EU	Queensland's institutional digital repository (The University of Queensland)		closed	8	no			Henry Farrell; John Quiggin
W1964887797	2011	2011-11-01	article	Coercion by an other name	The New Scientist	https://doi.org/10.1016/s0262-4079(11)62717-6	closed	0	no			Henry Farrell
W392256006	2011	2011-06-01	article	ユーロとEUを救うには--「ハードな」ケインズ主義を導入せよ (先進国経済を追い込む財政赤字と債務の悪夢)	Medical Entomology and Zoology		closed	0	no			Henry Farrell; John Quiggin
W2121993559	2010	2010-03-01	article	Self-Segregation or Deliberation? Blog Readership, Participation, and Polarization in American Politics	Perspectives on Politics	https://doi.org/10.1017/s1537592709992714	bronze	356	yes	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/00D2B6743AAF448CDD1DA4FBB913BB05/S1537592709992714a.pdf/div-class-title-self-segregation-or-deliberation-blog-readership-participation-and-polarization-in-american-politics-div.pdf	https://doi.org/10.1017/s1537592709992714	Eric Lawrence; John Sides; Henry Farrell
W2017386402	2010	2010-10-01	article	Making global markets: Historical institutionalism in international political economy	Review of International Political Economy	https://doi.org/10.1080/09692291003723672	closed	218	yes			Henry Farrell; Abraham L. Newman
W2322876027	2010	2010-10-14	article	Building a Political Science Public Sphere with Blogs	The Forum	https://doi.org/10.2202/1540-8884.1396	closed	10	yes			Henry Farrell; John Sides
W1601227184	2010	2010-01-01	preprint	The Kos Bump: The Political Economy of Campaign Fundraising in the Internet Age	SSRN Electronic Journal		green	7	yes		https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID1669744_code722383.pdf?abstractid=1643672&mirid=1	John Sides; Henry Farrell
W4236207730	2009	2009-08-24	book	The Political Economy of Trust	Cambridge University Press eBooks	https://doi.org/10.1017/cbo9780511596933	closed	84	yes			Henry Farrell
W2148551349	2009	2009-02-16	article	Ontology, methodology, and causation in the American school of international political economy	Review of International Political Economy	https://doi.org/10.1080/09692290802524075	closed	46	yes			Henry Farrell; Martha Finnemore
W1505426418	2009	2009-08-24	article	The Political Economy of Trust: Institutions, Interests, and Inter-Firm Cooperation in Italy and Germany		https://doi.org/10.1017/cbo9780511596933	closed	26	yes			Henry Farrell
