year	entry	urls
2012	Rutgers University Department of Sociology Colloquium Alone Together: Why We Expect More from Technology and Less from Each Other New Brunswick, NJ February 2012	
2012	College of the Holy Cross Campus Wide Address, sponsored by the Center for Teaching Alone Together: The New Intimacies, Solitudes, and Ethical Dilemmas of Our Digital Age Worcester, MA February 2012	
2012	Calvin College January Lecture Series Alone Together: Why We Expect More from Technology and Less from Each Other Grand Rapids, MI January 2012	
2011	University of California at Irvine CIO Roundtable, Center for Digital Transformation The Paul Merage School of Business Life on the Net: Effects on the Workforce, Innovation and Collaboration Irvine, CA December 2011	
2011	University of California at Irvine Center for Research in Information Technology and Organizations (CRITO) Distinguished Speaker Series Technology as the Architect of our Intimacies Irvine, CA November 2011	
2011	High Point University Faculty Cultural Enrichment Series: Our On-line Lives Campus Wide Address: Alone Together: Why We Expect More from Technology and Less from Each Other Greensboro, NC November 2011	
2011	Texas Lutheran University Krost Symposium Keynote: The Effects of Technology on the Self Seguin, TX November 2011	
2011	Aurora University Celebrating Arts & Ideas Series Alone Together: Objects as the Architects of Our Intimacies Chicago, IL November 2011	
2011	Society on Learning and the Brain Conference: Preparing Minds for the 21st Century Keynote: Alone Together: A Meditation on the Future of Teaching and Learning in the 21st Century Boston, MA November 2011	
2011	Chicago Humanities Festival Alone Together: Why We Expect More from Technology and Less from Each Other Chicago, IL November 2011	
2011	Massachusetts Institute of Technology MIT Hillel Leading Jewish Minds @ MIT Alone Together: Technology as the Architect of our Intimacies Cambridge, MA November 2011	
2011	Sarah Lawrence College Alone Together: Cyberspace/Cybersolitudes Bronxville, NY October 2011	
2011	Princeton Club Alone Together: Cyberspace/Cybersolitudes New York, NY October 2011	
2011	Boston Book Festival 2011 Panelist: Alone Together: Anti-Social Networks? Boston, MA October 2011	
2011	The Erikson Institute for Education and Research of the Austen Riggs Center Fall Conference on Remembering, Retweeting and Working Through Keynote: Alone Together: Social Media, Cyberintimacies and Cybersolitudes Stockbridge, MA October 2011	
2011	FreedomLab Masterclass: Alone Together Amsterdam, The Netherlands September 2011	
2011	Nexus Institute Masterclass: Alone Together Amsterdam, The Netherlands September 2011	
2011	Choate Rosemary Hall Alone Together Wallingford, CT September 2011	
2011	Berkeley Center for New Media Technology as the Architect of our Intimacies Berkeley, CA September 2011	
2011	Berkeley Art Museum Comments on and A Conversation with the artist Desirée Holman Berkeley, CA September 2011	
2011	Images & Voices of Hope World Summit Keynote: Mind-Full Media Haines Falls, NY September 2011	
2011	The Economist Human Potential Summit: The Ideas Economy Panelist: “The New Office: Virtualisation and Life in the Cloud” New York, NY September 2011	
2011	Hampshire College Freshman Convocation: Alone Together: Why We Expect More from Technology and Less from Each Other Amherst, MA September 2011	
2011	Aspen Institute Aspen Ideas Festival Session: Growing Up Tethered Aspen, CO July 2011	
2011	Aspen Institute Aspen Ideas Festival Panelist: Knowledge Exchange: It’s a Social, Social World. Now What? Panelist: Connectivity and Its Discontents: Opportunities and Anxieties Aspen, CO July 2011	
2011	London School of Economics Alone Together: Why We Expect More from Technology and Less from Each Other London, England June 2011	
2011	The British Library Panelist: The Age of Enlightenment: Are We Too Intertwined with Technology? London, England June 2011	
2011	Royal Society of Arts Alone Together: Why We Expect More from Technology and Less from Each Other London, England June 2011	
2011	Expo Gastao Alone Together: The New Intimacies and Solitudes of the Digital Age Joinville, Brazil June 2011	
2011	Milken Institute Global Conference on Shaping the Future Panelist: The Attention Deficit Society: What technology is doing to our brains Los Angeles, CA May 2011	
2011	Yale Law School Technology and Ethics Study Group Alone Together: Why We Expect More from Technology and Less from Each Other New Haven, CT April 2011	
2011	Salem Athenaeum The Adams Lecture Alone Together: Why We Expect More from Technology and Less from Each Other Salem, MA April 2011	
2011	Harvard University The Bok Center for Teaching and Learning Alone Together: A Meditation on the Future of Teaching and Learning in the Digital Age Cambridge, MA April 2011	
2011	University Professional & Continuing Education Association 96th Annual Conference: Doing What Matters – New Knowledge and Strategies Keynote: Alone Together: Why We Expect More from Technology and Less from Each Other Toronto, Canada April 2011	
2011	Psychotherapy Networker Symposium 2011 Keynote: Cyber Intimacy and Cyber Solitude Washington, DC March 2011	
2011	Georgia Institute of Technology GVU Center Alone Together: Why We Expect More from Technology and Less from Each Other Atlanta, GA March 2011	
2011	Williams College Oakley Center for the Humanities and Social Sciences The Richmond Lecture: Alone Together: New Intimacies and Solitudes in the Digital Age Williamstown, MA March 2011	
2011	Harvard University Harvard Society for Mind, Brain, and Behavior Alone Together: Why We Expect More from Technology and Less from Each Other Cambridge, MA March 2011	
2011	Washington College C.V. Starr Center for the Study of the American Experience Alone Together: Why We Expect More from Technology and Less from Each Other Chestertown, MD February 2011	
