year	section	entry	urls	in_corpus
2016	ARTICLES	“We Need to Talk about Donald .” London Review of Books Blog, 26 October 2016.	http://www.lrb.co.uk/blog/2016/10/26/sherry-turkle/we-need-to-talk-about-donald/	fetched
2016	ARTICLES	“There Are Dangers to Remaking the Real as a Virtual Place .” The New York Times (Room for Debate, The Opinion Pages), July 13, 2016.	http://www.nytimes.com/roomfordebate/2016/07/12/pokemon-go-get-outta-here/there-are-dangers-to-not-living-in-the-real-world	fetched
2016	ARTICLES	“An Assault on Empathy. ” Milken Institute Review (issue on The Power of Ideas), June 2016.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Assault-on-Empathy.pdf	fetched
2015	ARTICLES	“The Creep of Social Media Raises Big Questions .” The New York Times (Room for Debate), March 4, 2015.	http://www.nytimes.com/roomfordebate/2012/06/19/are-social-networks-just-a-fad-6/the-creep-of-social-media-raises-big-questions	fetched
2015	ARTICLES	“Talk to Each Other, Not Your Phone. ” The New York Times (The Opinion Pages), October 1, 2015.	http://www.nytimes.com/2015/10/01/opinion/talk-to-each-other-not-your-phone.html	fetched
2015	ARTICLES	“Stop Googling. Let’s Talk. ” The New York Times (Sunday Review, The Opinion Pages), September 27, 2015.	http://www.nytimes.com/2015/09/27/opinion/sunday/stop-googling-lets-talk.html?_r=0	fetched
2014	ARTICLES	“Is Facebook Making Us Lonely? (Debate).” Upfront: The Newsmagazine for Teens (New York Times/Scholastic), March 17, 2014.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Is-facebook-making-us-lonely.pdf	fetched
2014	ARTICLES	“The Psychology of Social Media .” Real Simple (interviewed for special issue on ‘The Balanced Life’), January 2014.	http://www.realsimple.com/work-life/technology/social-media-psychology-00100000117071/index.html	
2013	ARTICLES	“The Documented Life. ” The New York Times (Sunday Review, The Opinion Pages), December 15, 2013.	http://www.nytimes.com/2013/12/16/opinion/the-documented-life.html?_r=0	fetched
2012	ARTICLES	“Present Tense: Has the audience left the building?” Playbill Magazine (Special edition, Lincoln Center, NY), November 2012.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Present-Tense.pdf	fetched
2012	ARTICLES	“The Flight From Conversation .” The New York Times (Sunday Review, The Opinion Pages), April 22, 2012.	http://www.nytimes.com/2012/04/22/opinion/sunday/the-flight-from-conversation.html	fetched
2012	ARTICLES	“A Conversation with Sherry Turkle ” (interview with James Nolan). The Hedgehog Review, Vol. 14, No. 1, Spring 2012.	http://www.iasc-culture.org/THR/THR_article_2012_Spring_Nolan.php	
2011	ARTICLES	“The Tethered Self: Technology Reinvents Intimacy and Solitude .” Continuing Higher Education Review, Vol. 75, Fall 2011.	https://files.eric.ed.gov/fulltext/EJ967807.pdf	fetched
2011	ARTICLES	“The Anthony Weiner in all of us: Why, in a Twitter world, we’re all vulnerable to Weineresque errors. ” The New York Daily News (opinion piece), June 13, 2011.	http://www.nydailynews.com/opinion/anthony-weiner-twitter-world-vulnerable-weineresque-errors-article-1.131662	fetched
2008	ARTICLES	“A Passion for Objects: How science is fueled by an attachment to things .” The Chronicle of Higher Education, Vol. 54, Issue 38, May 30, 2008.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Passion-for-Objects.pdf	fetched
2007	ARTICLES	“Authenticity in the Age of Digital Companions .” Interaction Studies, Vol. 8 No. 3, 2007.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Authenticity-in-age-of-digi-comp.pdf	fetched
2007	ARTICLES	“The Secret Power of Things We Hold Dear .” New Scientist, 9 June 2007.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Secret-power-of-things.pdf	fetched
2007	ARTICLES	“Can You Hear Me Now ?” Forbes (90th Anniversary issue), May 2007.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Can-you-hear-me-now.pdf	fetched
2006	ARTICLES	“Relational Artifacts with Children and Elders: The Complexities of Cybercompanionship ” (with Will Taggart, Cory D. Kidd, and Olivia Dasté). Connection Science, Vol.18 No. 4, December 2006.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/Relational-Artifacts.pdf	
2006	ARTICLES	“A Nascent Robotics Culture: New Complicities for Companionship ,” AAAI Technical Report Series, July 2006.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Nascent-Robotics-Culture.pdf	fetched
2006	ARTICLES	“A Sociable Robot to Encourage Social Interaction Among the Elderly ” (with Will Taggart and Cory D. Kidd). Proceedings of the 2006 IEEE International Conference on Robotics and Automation, Orlando, Florida, May 2006.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_A-Sociable-Robot.pdf	fetched
2006	ARTICLES	“Diary .” London Review of Books, Vol. 28, 8, April 2006.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Diary.pdf	fetched
2004	ARTICLES	“Whither Psychoanalysis in Computer Culture? ” Psychoanalytic Psychology: Journal of the Division of Psychoanalysis, American Psychological Association, Winter 2004.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Whither-Psychoanalysis.pdf	
2004	ARTICLES	“How Computers Change the Way We Think. ” The Chronicle of Higher Education: Information Technology, January 30, 2004.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/Turkle_how_computers_change_way_we_think.pdf	fetched
2003	ARTICLES	“Technology and Human Vulnerability .” Harvard Business Review, September 2003.	https://hbr.org/2003/09/technology-and-human-vulnerability	
2003	ARTICLES	“From Powerful Ideas to PowerPoint .” Convergence: The Journal of Research into New Media Technologies, 9, 2, Summer 2003.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_From-powerful-ideas-to-powerpoint.pdf	
2002	ARTICLES	“Lord of the Hackers .” New York Times, Op-Ed, 7 March 2002.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Lord-of-hackers.pdf	
	ALSO OF NOTE	The Fight to Save the Town: Reimagining Discarded America by	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Fight-to-Save-the-Town_June2022.pdf	fetched
	ALSO OF NOTE	Michelle Wilde Anderson. Book Review. New York Times,		
2022	ALSO OF NOTE	June 21, 2022.		
1997	ALSO OF NOTE	“Multiple Subjectivity and Virtual Community at the End of the Freudian Century .” Sociological Inquiry, 67, 1, Winter 1997.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Multiple-Subjectivity.pdf	
1997	ALSO OF NOTE	“Seeing Through Computers: Education in a Culture of Simulation .” The American Prospect, no. 31, March-April 1997.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Seeing-thru-computers.pdf	
1996	ALSO OF NOTE	“Who am We? ” Wired, 4, 1, January 1996.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Who-am-we.pdf	
1996	ALSO OF NOTE	“Virtuality and Its Discontents .” The American Prospect, no. 24, Winter 1996.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Virtuality-and-its-discontents.pdf	
1996	ALSO OF NOTE	“Constructions and Reconstructions of Self in Virtual Reality .” Mind, Culture, and Activity, 1, 3, Summer 1994. (Reprinted in Electronic Culture: Technology and Visual Representation, Timothy Druckrey (ed.). Aperture Foundation, 1996 and Culture of the	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Construc-and-reconstruc-of-self.pdf	
1997	ALSO OF NOTE	Internet, Sara Kiesler (ed.). Hilldale, New Jersey: Lawrence Erlbaum Associates, 1997.)		
1992	ALSO OF NOTE	“Epistemological Pluralism and the Revaluation of the Concrete .” In Constructionism, Idit Harel and Seymour Papert (eds.). Norwood, NJ: Ablex Publishing Corporation, 1991. (Reprinted in Journal of Mathematical Behavior, 11, 1, March 1992.)	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Epistemo-Pluralism.pdf	
1988	ALSO OF NOTE	“Artificial Intelligence and Psychoanalysis: A New Alliance .” Daedalus, 17, 1, Winter 1988.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Artificial-intell-and-psychoanal.pdf	
1986	ALSO OF NOTE	“Computational Reticence: Why Women Fear the Intimate Machine .” In Technology and Women’s Voices, Cheris Kramerae (ed.). New York: Pergamon Press, 1986.	https://sherryturkle.mit.edu/wp-content/uploads/2020/05/ST_Compu-Reticence.pdf	
	INTERVIEWS/PROFILES/COMMENTARY	Interviews, Profiles, and Commentary		
	INTERVIEWS/PROFILES/COMMENTARY	Media Appearances, Video Presentations, and Interviews in which Sherry Turkle discusses her books as well as her research in general.		
2026	INTERVIEWS/PROFILES/COMMENTARY	CNN Kara Swisher’s Wants To Live Forever – Interviewed on Episode 3 “How To Hack Loneliness” (May 9, 2026)	https://www.cnn.com/kara-swisher-wants-to-live-forever	
2026	INTERVIEWS/PROFILES/COMMENTARY	PBS News Horizons – “Can AI companionship cure loneliness – or deepen it? ” (February 27, 2026) Horizons moderator William Brangham explores AI relationships with Sherry Turkle, Justin Gregg and Nick Thompson.	https://www.pbs.org/newshour/video/horizons/2026/02/can-ai-companionship-cure-loneliness-or-deepen-it	
2025	INTERVIEWS/PROFILES/COMMENTARY	Guest post on After Babel, preface to the Tenth Anniversary Edition of Reclaiming Conversation with an introduction from Jon Haidt (August 26, 2025)	https://www.afterbabel.com/p/reclaiming-conversation-age-of-ai	fetched
