openalex_id	year	title	venue	doi	cited_by	vincent_raw_name	verdict
W381147133	2007	Twelfth and Thirteenth-Century Kingship: An Essay in Anglo-French Misunderstanding	UEA Digital Repository (University of East Anglia)		1	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W1898003793	2007	Jean, comte de Mortain: le futur roi et ses domaines en Normandie 1183-1199	UEA Digital Repository (University of East Anglia)		0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W2047143562	2007	Satan the heretic. The birth of demonology in the medieval west. By Alain Boureau. (Trans. by Teresa Lavender Fagan of <i>Satan hérétique: naissance de la démonologie dans l'occident médiéval</i> [<i>1280–1330</i>], Éditions Odile Jacob, 2004.) Pp. xii+255. Chicago–London: University of Chicago Press, 2006. £19 ($30). 0 226 06748 3	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046907000814	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W2148692658	2007	Léopold Deslisle, l'Angleterre et le Recueil des Actes de Henri II	UEA Digital Repository (University of East Anglia)		0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W2466981119	2007	<i>Richard the Lionheart: King and Knight,</i> by Jean Flori (2006)	Nottingham Medieval Studies	https://doi.org/10.1484/j.nms.3.420	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W1960806054	2006	16 The Strange Case of the Missing Biographies: The Lives of the Plantagenet Kings of England 1154–1272	Boydell and Brewer eBooks	https://doi.org/10.1515/9781846155147-019	5	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W1898589089	2006	Vita Edwardi Secundi. <i>The Life of Edward the Second</i>. Edited by N. Denholm-Young, re-edited with a new intro., apparatus and revised text and trans. by Wendy R. Childs. (Oxford Medieval Texts.) Pp. lx+270. Oxford: Clarendon, 2005. £70. 0 19 927594 7	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046905766215	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W1974566796	2006	Seeing and Being Seen in the Later Medieval World: Optics, Theology and Religious Life By Dallas G. Denery	History	https://doi.org/10.1111/j.1468-229x.2006.379_47.x	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
W2049615588	2006	The Secular Jurisdiction of Monasteries in Anglo-Norman and Angevin England (review)	The Catholic historical review	https://doi.org/10.1353/cat.2007.0051	0	Nicholas Vincent	EXCLUDED (different person: medieval historian / other)
W2133560954	2006	<i>Rievaulx Abbey and its social context, 1132–1300. Memory, locality, and networks</i>. By Emilia Jamroziak. (Medieval Church Studies, 8.) Pp. xii+252. Turnhout: Brepols, 2005. €60. 2 503 52177 0	The Journal of Ecclesiastical History	https://doi.org/10.1017/s0022046906538138	0	NICHOLAS VINCENT	EXCLUDED (different person: medieval historian / other)
