openalex_id	year	date	type	title	raw_authors	venue	doi	oa_status	cited_by	landing_url
W2940366244	2017	2017-01-01	article	Building a Fact-Checking Habit by Checking Your Emotions	Mike Caulfield			closed	1	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/building-a-habit-by-checking-your-emotions/
W2940418096	2017	2017-01-01	article	Activity: Trace Viral Photos Upstream	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/activity-trace-viral-photos-upstream/
W2940428452	2017	2017-01-01	article	Using Google Books to Track Down Quotes	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/using-google-books-to-track-down-quotes/
W2940912228	2017	2017-01-01	article	Activity: Find Top Authorities for a Subject	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/activity-find-top-authorities-for-a-subject/
W2941157802	2017	2017-01-01	article	“Go Upstream to Find the Source” Image Descriptions	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/go-upstream-to-find-the-source-image-descriptions/
W2941224705	2017	2017-01-01	article	Tracking the Source of Viral Content	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/tracking-the-source-of-viral-content/
W2941334017	2017	2017-01-01	article	Filtering by Time and Place to Find the Original	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/filtering-by-time-and-place-to-find-the-original/
W2941357928	2017	2017-01-01	article	Using Google Reverse Image Search	Mike Caulfield			closed	0	https://webliteracy.pressbooks.com/chapter/using-google-reverse-image-search/peta/
W2941797065	2017	2017-01-01	article	Identifying Sponsored Content	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/identifying-sponsored-content/
W2941971154	2017	2017-01-01	article	Searching TV Transcripts with the Internet Archive	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/searching-tv-transcripts-with-the-internet-archive/
W2942352057	2017	2017-01-01	article	Treating Google’s “Snippets” with Suspicion	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/treat-google-cards-with-suspicion/
W2942478859	2017	2017-01-01	article	Choosing Your Experts First	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/choosing-your-experts-first/
W2943703043	2017	2017-01-01	article	Using the Facebook Live Map to Find Breaking Coverage	Mike Caulfield			closed	0	https://ecampusontario.pressbooks.pub/webliteracycaulfield/chapter/using-the-facebook-live-map-to-find-breaking-coverage/
W7162058487			other	Masterclass Workshop: From Search to AI Mode	CAULFIELD, Mike	Singapore Management University Institutional Knowledge (InK) (Singapore Management University)		closed	0	https://ink.library.smu.edu.sg/gmil2025/program/agenda/2
