date	post_id	title	url
2016-01-21	28116	CRISPR controversy reveals how badly journals handle conflicts of interest	https://www.statnews.com/2016/01/21/crispr-conflicts-of-interest/
2016-01-13	25359	Fake study on moms’ kisses risked sowing confusion just for a laugh	https://www.statnews.com/2016/01/13/journals-publish-fake-studies/
2016-01-08	24427	This little cancer drug didn’t make it to market	https://www.statnews.com/2016/01/08/cancer-drug-orazol/
2015-12-30	21869	Should scientific papers be anonymous?	https://www.statnews.com/2015/12/30/should-scientific-papers-be-anonymous/
2015-12-23	20457	To keep science honest, study data must be shared	https://www.statnews.com/2015/12/23/sharing-data-science/
2015-12-15	17027	Governments routinely cover up scientific misdeeds. Let’s end that	https://www.statnews.com/2015/12/15/governments-scientific-misdeeds/
2015-12-10	14929	Would you trust a plagiarizing doctor?	https://www.statnews.com/2015/12/10/plagiarism-doctors/
2015-12-02	12380	A lot of science isn’t groundbreaking, and that’s a good thing	https://www.statnews.com/2015/12/02/science-groundbreaking/
2015-11-25	7115	Blood from embryonic stem cells? Trials still years away	https://www.statnews.com/2015/11/25/blood-embryonic-stem-cells/
2015-11-19	9109	Fraudsters discover an unlikely new set of victims: academics	https://www.statnews.com/2015/11/19/fraudsters-academics-journals/
2015-11-07	2661	We’ll sniff out scientific misconduct	https://www.statnews.com/2015/11/07/stat-column-will-examine-scientific-misconduct/
