date	title_and_venue	urls	section
	Index and Metrics for ?Openness? in Universities.Symposium on the Institutionalisation of Openness in Universities ELPUB2009, Milan, Italy. June 12th, 2009	http://elpub.scix.net/cgi-bin/works/Show?_id=172_elpub2009&sort=DEFAULT&search=%2fseries%3a%22ELPUB%3a2009%22&hits=46	conferences
	Nothing in Scholarly Communications Makes Sense Except in the light of Open Access. 2nd International PKP Scholarly Publishing Conference. July 8-10 Vancouver, B.C, Canada.	http://pkp.sfu.ca/ocs/pkp/index.php/pkp2009/pkp2009 http://blogs.ubc.ca/pkp2009/2009/07/16/nothing-in-scholarly-communication-makes-sense-except-in-the-light-of-open-access-leslie-chan/ http://vimeo.com/5670059	conferences
	From local knowledge to a global knowledge commons. Conference on Scholarly Communication in the Age of the Commons. National Aerospace Laboratories (as a part of their Golden Jubilee celebrations), Indian Academy of Sciences and Centre for Internet and Society, Bangalore, March 26th, 2009.	http://www.cis-india.org/events/scholarly-communication-in-the-age-of-the-commons	conferences
	Institutional Repository in the Age of Open Scholarship. symposium on Open Access to Science Publications - Policy Perspective, Opportunities and Challenges. Council of Scientific & Industrial Research (CSIR), India. India Habitat Centre, New Delhi, India, March, 2009.	http://www.csir.res.in/External/Heads/aboutcsir/announcements/OA.pdf	conferences
	The Convergence of Open Access and Open Source. 7th annual free software and open source conference, Seneca@York, Toronto, Canada.	http://fsoss.senecac.on.ca/2008/?q=node/73	conferences
October 24th, 2008.	Access to Science and Research in Developing Countries. Third Access to Knowledge Global Conference (A2K3), hosted by Yale Law School. Geneva, Switzerland. September 10, 2008.	http://www.law.yale.edu/intellectuallife/7122.htm	conferences
	Policy and Technology for e-Science, an ESOF Satellite Event. July 16-17, 2008. Institut d’Estudis Catalans, Barcelona, Spain	http://sciencecommons.org/events/esof-satellite-event http://sciencecommons.org/events/esof-satellite-event/program/	conferences
	Open Access: what it means for research, teaching, and one's career. Scholarly Publishing Speaker Series, York University, Toronto, Canada. April 16, 2008.	http://www.yorku.ca/yuevents/index.asp?Event=13791	conferences
	Innovating in the Creative and Knowledge Industries - Not an Open or Closed Case. With Gale		conferences
	Moore. International Forum on the Creative Economy. Conference Board of Canada, Gatineau,		conferences
	Quebec, March 17 –18, 2008.	http://www.conferenceboard.ca/conf/mar08/creative/default.asp http://www.conferenceboard.ca/documents.asp?rnext=2701	conferences
	Open for Business: The Emerging Collaboration Economy. 3rd Global Knowledge Conference,		conferences
	December 11-13 2007, Kuala Lumpur, Malaysia	http://www.gkpeventsonthefuture.org/ http://www.gkpeventsonthefuture.org/GK3/dsp_page.cfm?pageid=671#em12	conferences
	Centering the knowledge peripheries through open access: case studies and best practices. South African Research Universities Association Open Access Leadership Summit. Gaborone, Botswana, Nov. 20-21,2007.	http://www.sarua.org:8180/web/guest/OAsummit2007 http://www.eifl.net/cps/sections/docs/sarua-final-programme/downloadFile/file/SARUA_Final_Programme.pdf?nocache=1196242987.59	conferences
	Collaborative approaches to Open Access: Experience from Bioline International. Strategies for Open and Permanent Access to Scientific Information in Latin America: Focus on Health and Environmental Information for Sustainable Development. Atibaia, Sao Paulo, Brazil, May 8-10 2007.	http://www.cria.org.br/eventos/codata2007/agenda http://www.cria.org.br/eventos/codata2007/apresentacao/Presentations_09-05/Session7/panel7.4/lchan.ppt	conferences
	Case studies of the integration of institutional repositories and open access journals. Promoting 21st Century Scholarly Commmunication, The University of Hong Kong, May 17, 2007.	http://lib.hku.hk/scholarly_communication/conf/programme.html http://hub.hku.hk/handle/123456789/44098	conferences
	Feasibility of Open Access for SSHRC funded Journals” Open Access: Not One Size Fits All. University of Winnipeg. Winnipeg, Canada. Feb. 6, 2007	http://library.uwinnipeg.ca/conferences/oa_symposium2007/SSHRC_OAjournals.ppt	conferences
	What is Open Access and What does it mean for Information Professional. Life After WSIS: Lessons Learnt and Implications for the Information Professions. Annual meeiting of the American Society for Information Science and Technology (ASIS&T). San Antonio, Texas, USA. Nov. 3, 2006		conferences
	The Future of Open Access Publishing. MEDNET Congress 2006, Improving Public Health through the Internet. Toronto, Canada. Oct. 15, 2006		conferences
	Beyond Institutional and Disciplinary Boundaries: The Role of Open Access Repositories. Access 2006: Institutional Repositories, The Next Generation. Organized by the Canadian Association of Research Libraries. Ottawa, Canada. Oct. 10, 2006		conferences
	Open Access Repositories: Implications for Humanities and Social Sciences”. 1st Ibero-American Conference on Electronic Publishing in the Context of Scholarly Communication. Brasilia, Brazil. April 25- 28, 2006		conferences
	Institutional Repositories: Benefits and Challenges of Working Together. Beyond Boundaries and Binders, 28th Annual Meeting of the Society for Scholarly Publishing. Washington, D.C., USA. June 9, 2006		conferences
	Digitizing Culture: Challenges, Opportunities and Lessons Learned. The Multicultural Canada Conference 2006. Vancouver, Canada. June 1, 2006	http://ir.lib.sfu.ca/handle/1892/2564	conferences
	Centering the Knowledge Periphery through Open Access: Experience from Bioline International. The International Dimensions of Digital Science and Scholarship. Annual meeting of the Association of Research Libraries and Canadian Association of Research Libraries. Ottawa, Canada. May 18, 2006	http://www.arl.org/arldocs/resources/pubs/mmproceedings/148/chan.ppt.htm	conferences
	A South-North Partnership in Open Access Publishing, Bioline International”. Symposium on Access to Scientific and Technical Information. Annual Meeting of the Senegalese Academy of Science. Dakar, Senegal. Jan 30-31, 2006		conferences
	Special Library Association, Washington. April 6, 2006.	http://units.sla.org/chapter/cdc/events_files/Apr0606SLD.html	conferences
	"Open Archive and Institutional Collaboration". Open Access to Scientific Information. Scientific Working Group at the World Summit on the Information Society. Tunis, Tunisia, Nov. 17, 2005.	http://www.wsis-si.org/	conferences
	"Accessing, documenting, and disseminating scientific information for development: Experience from Bioline International". Past, Present, and Future of Research in the Information Society, an official side event		conferences
	preceding Phase II of the World Summit on the Information Society (WSIS), Tunis, Tunisia, 13-15 Nov. 2005.	http://www.worldsci.net/	conferences
	"AnthroSource: Transforming access, dissemination, and creation of anthropological knowledge". Scholarly Communication in the Age of the Internet. Internet Research 6.0: Internet Generations Sponsored by the		conferences
	Association of Internet Researchers. Chicago, Oct. 8, 2005.	http://conferences.aoir.org/viewabstract.php?id=328&cf=3	conferences
	Open Knowledges (Panel) - 3è Colloque Internationale Sur Les Etues Francaises Valorisee Par Les Technologies: Langues et Dialogues Interculturels - 3rd International Colloquium on ICT-Enhanced French Studies: Dialogues Across Languages and Cultures (Oct. 27-29, Toronto) . York University, Toronto	http://www.arts.yorku.ca/french/colloqueef3/programme_oct29.html	conferences
	"Strategies for building a global knowledge commons: Institutional repository and beyond" Seminar at the International Development Research Centre, Ottawa, Canada, Oct, 17, 2005.		conferences
	“Maximizing Research Impact of Scientific Publications from Developing Countries through Open Access: Experience from Bioline International” International Conference on Policies and Strategies for Open Access to Scientific Information (Beijing, June 22-24, 2005)	http://libraries.csdl.ac.cn/Meeting/MeetingID.asp?action=skin&language=Eng&MeetingID=7&MeetingMenuID=39	conferences
	“Does Open Access pose any security risk?” International Forum on Biosecurity. Lake Como, Italy. March 20-22, 2005	http://www7.nationalacademies.org/biso/Biosecurity_Forum.html	conferences
	“Bioline International as Model of Collaborative Open Access Publishing”. Open Access and Scholarly Communication Conference, Pretoria, South Africa. July 29-30, 2004		conferences
	“Harnessing Indigenous Knowledge Using Appropriate Technology” . Electronic Publishing 2004: Building Digital Bridges. U of Brasilia, Brazil. June 26, 2004.	http://portal.cid.unb.br/elpub/index.php	conferences
	“The importance of national and institutional policies for open access”. For the Greater Good: Crisis in Scholarly Communication, McGill University, Montreal. May 17, 2004	http://www.library.mcgill.ca/symposium/	conferences
	“Strategies for Advancing Open Access” Open Access and Institutional Repositories, Indian National Science Academy, New Delhi. May 13, 2004	http://www.insaindia.org/workshop.htm	conferences
	“The World Summit on the Information Society: Civil Society Perspectives” Presented at the Knowledge Media Design Institute’s Seminar Series: Building Relationships Across the Institute. Feb. 5, 2004, University of Toronto	http://wsis.ecommons.ca/node/view/302	conferences
	“Making the 'lost sciences' from developing countries visible through collaborative open access publishing: Experience from Bioline International” Presented at the Scientific Information Working Group meeting, Open Access: Towards a Free Science Revolution in Science or Inevitable Scientific Evolution? World Summit on The Information Society, Geneva, Switzerland. December 11, 2003	http://www.wsis-si.org/si-events.html	conferences
	“International trends in open access to scientific knowledge” ICCC/IFIP Seventh International Conference on Electronic Publishing 25-28 June 2003 University of Minho, Guimarães, Portugal	http://piano.dsi.uminho.pt/elpub2003/index.html	conferences
	“Creating Change in Scholarly Communications: Experimentations and Ways Forward.” SPARC/ACRL Forum, Creating Change: Best Practices in Campus Advocacy. ALA/CLA Annual Conference, Toronto, June 21, 2003	http://www.arl.org/sparc/core/index.asp?page=h27	conferences
	“Revolutions in Scholarly Publishing: The Building of a Knowledge Commons” Ontario College and University Library Association Sessions: Ontario Library Association Super Conference Jan. 30, Toronto	http://www.wlu.ca/~wwwlib/ocula/oculasessions2003.html	conferences
	“Bioline International and the Journal of Postgraduate Medicine: A Collaborative Model of Open Access Publishing”. Presented at the International Symposium on Open Access and the Public Domain in Digital Data and Information for Science, sponsored by the National Academies (US) and UNESCO. March 10-12, 2003. Paris, France.	http://webworld.unesco.org/real_media/ram/symposium_10-03-2003/mon_15_00_en.ram	conferences
	“Open access to scientific literature and benefits for developing countries”. Presented at the 11th International Federation for Science Editors Biannual Meeting: Global Science Communication in the New Century. August 11-14, 2002. Beijing, China.		conferences
	“Bioline International: A model of collaborative publishing and distribution of scientific research from developing countries”. Presented at the conference Research Innovation and Scholarship: the Role of Open Access Publishing, organized by the Canadian Association of Research Libraries, Nov. 21-22, 2002, Ottawa, Canada.	http://www.carl-abrc.ca/horaire/other/prog-e.html	conferences
	“Bioline International, bridging the knowledge divides in global science." 2nd Annual Bethune Round Table on International Surgery: Surgical Education for Development. Toronto-Sunnybrook Regional Cancer Care Centre, February 8th & 9th, 2002.		conferences
	"Bioline International and Alternative Publishing Systems: Will Small Publishers survive the Electronic Revolution?" Biannual Conference of the International Federation of Science Editors. Rio de Janeiro, Brazil. Aug. 2000	http://www.bireme.br/ifse-rio/	conferences
	"Re-engineering for the Knowledge Society." Canadian Library Association Annual Conference, Toronto. With Marla Miller and William Barek. June 1999		conferences
	"What is a Digital Library?" From Books to Bookmark. Ontario Library Association Conference, Toronto, Canada. With Marla Miller. April 1999		conferences
	"Wired Scholarship: Implications for Research Libraries." Annual meeting of the Western New York/Ontario chapter of the Association of College and Research Libraries (ACRL): Faculty and Library Relationship. April 1999	http://www.lib.uwaterloo.ca/~srahman/conference5.html	conferences
	"Preparing Learners for the Networking Age." Meeting of the Canadian Distance Education Association, in association with the Radio and Television Universities of China, at York University, Toronto. Sept. 1999		conferences
	"E-publishing and Developing Countries" International Congress of Microbiology, Halifax. May 1998		conferences
	“Open Access and Bioline International”. Open Access and Scholarly Communication Workshop , Vilnius, Lithuania. Feb 21-22, 2005.	http://www.lmba.lt/reng/angl/eoa_v.htm	workshops
	“Open Access and Bioline International” Open Access and Scholarly Communication Workshop, Kyiv, Ukraine. Feb 17-19, 2005	http://www.a2k.org.ua/news.php?id=31&lng=en	workshops
	“Institutional Archiving : Policies, Tools and Processes”. Open Access India, MS Swaminathan Research Foundation, Chennai, India. May 2-4, May 2-8 2004.	http://www.utsc.utoronto.ca/~chan/oaindia	workshops
	Science Editors Workshop on Electronic and Open Access Publishing. Sponsored by the Chinese Academy of Sciences. (August 2002), Beijing, China.		workshops
	Epublishing Workshops in India. Sponsored by the Indian Academy of Sciences and the Indian Institute of Science (March 2002)	http://www.ias.ac.in/meetings/epubworkshops/index.html	workshops
	Budapest Open Access Initiative (Dec. 2001). Convened by the Open Society Institute.	http://www.soros.org/openaccess/	workshops
	"Yet Another Manual? The Importance of Training and Knowledge Transfer" Workshop on Scientific Communication and Publishing in the Electronic Age. Sponsored by the British Council and the International Network for the Availability of Scientific Publication. Oxford, England. May 1999	http://www.inasp.org.uk/psi/scpw/list.html	workshops
	Leslie Chan's homepage | Site Map		workshops
