date	title	url	contributor_ids
2019-03-11	A micro safari through household germs reveals that cleanliness isn’t always a good thing	https://theworld.org/stories/2019/03/11/his-new-book-never-home-alone-rob-dunn-takes-safari-through-our-homes	18973
2019-03-04	Chinese innovation makes the ‘Chinese Dream’ real for many	https://theworld.org/stories/2019/03/04/chinas-innovation	18973
2019-02-26	How to step away from the screen	https://theworld.org/stories/2019/02/26/how-step-away-screen	18963
2019-02-05	This economist says ‘degree inflation’ is hurting the American job market	https://theworld.org/stories/2019/02/05/economist-says-degree-inflation-hurting-american-job-market	18678
2019-01-28	How the US influenced the creation of the EU	https://theworld.org/stories/2019/01/28/how-us-influenced-creation-eu	13377
2019-01-23	Historian: Technology and politics has always been dysfunctional in the US	https://theworld.org/stories/2019/01/23/lawmakers-grapple-impact-social-media-politics-historian-says-its-always-been	13377
2019-01-11	Nutrition science is changing: low-fat is out, whole foods are in	https://theworld.org/stories/2019/01/11/nutrition-science-changing-low-fat-out-whole-foods-are	18678
2018-12-06	Marinating in plastics	https://theworld.org/stories/2018/12/06/marinating-plastics	18846
2018-11-09	Testing who you are	https://theworld.org/stories/2018/11/09/testing-who-you-are	18846
2018-09-11	The fake doctor who saved thousands of babies	https://theworld.org/stories/2018/09/11/fake-doctor-who-saved-thousands-babies	16544
2018-07-16	Precision engineering creates modern perfection	https://theworld.org/stories/2018/07/16/precision-engineering-creates-modern-perfection	18713
2018-07-16	Bigger can be better when it comes to business	https://theworld.org/stories/2018/07/16/benefits-big-business	18712
2018-06-22	How did it come to this? The evolution of immigration.	https://theworld.org/stories/2018/06/22/how-did-it-come-evolution-immigration	16544
2018-06-15	Can an algorithm keep kids safe?	https://theworld.org/stories/2018/06/15/can-algorithm-keep-kids-safe	16284,16544
2018-06-12	The tie between rationality and intelligence isn’t that strong	https://theworld.org/stories/2018/06/12/rationality-versus-intelligence	18405
2018-05-18	The health risks of a toxic workplace	https://theworld.org/stories/2018/05/18/health-risks-toxic-workplace	16544
2018-04-23	Can music improve your health?	https://theworld.org/stories/2018/04/23/can-music-improve-your-health	18405
2018-03-23	From Ford to Foxconn: A history of factories	https://theworld.org/stories/2018/03/23/ford-foxconn-history-factories	16544
2018-02-05	Why CEOs are becoming activists	https://theworld.org/stories/2018/02/05/why-ceos-are-becoming-activists	18405
2018-01-30	Will Russia get involved in the 2018 elections?	https://theworld.org/stories/2018/01/30/russia-and-2018-elections	16544
2018-01-19	To control rat populations, birth control may be more effective than poison	https://theworld.org/stories/2018/01/19/control-rat-populations-birth-control-may-be-more-effective-poison	18405
2018-01-05	Garry Kasparov and the game of artificial intelligence	https://theworld.org/stories/2018/01/05/garry-kasparov-and-game-artificial-intelligence	16544
2017-12-01	Levittown and the rise of the American suburb	https://theworld.org/stories/2017/12/01/levittown-and-rise-american-suburb	18405
2017-10-27	Why practice rarely makes perfect	https://theworld.org/stories/2017/10/27/why-practice-rarely-makes-perfect	18405
2017-10-27	The political lines that divide us	https://theworld.org/stories/2017/10/27/political-lines-divide-us	18405
2017-10-27	Is bipartisanship dead? Not in Alaska.	https://theworld.org/stories/2017/10/27/bipartisanship-dead-not-alaska	18405
2017-08-25	America’s restaurants have evolved with American culture	https://theworld.org/stories/2017/08/25/delmonico-s-howard-johnson-s	16544
2017-08-04	Why China is sending jobs to Africa	https://theworld.org/stories/2017/08/04/why-china-next-africa	16544
2017-07-17	How childhood trauma affects health	https://theworld.org/stories/2017/07/17/how-childhood-trauma-affects-health	18335
2017-06-20	The potential — and possible pitfalls — of modern protests	https://theworld.org/stories/2017/06/20/potential-and-possible-pitfalls-modern-protests	16544
2017-06-20	The birth of talkies	https://theworld.org/stories/2017/06/20/birth-talkies	16544
2017-05-08	The story of heroin shows how medicine advances ‘slowly and painfully’	https://theworld.org/stories/2017/05/08/dark-side-scientific-progress	16944
2017-04-21	How Trump is changing TV	https://theworld.org/stories/2017/04/21/how-trump-changing-tv	16544
2017-03-17	How the new health care bill could affect your Uber ride	https://theworld.org/stories/2017/03/17/how-new-health-care-bill-could-affect-your-uber-ride	16944
