section	kind	title	meta	url	status	dossier_file
Essays & Op-Eds	Read	AI Is Evolving — And Changing Our Understanding Of Intelligence	By Blaise Agüera y Arcas and James Manyika / Noema Magazine | April 2025	https://www.noemamag.com/ai-is-evolving-and-changing-our-understanding-of-intelligence/	fetched	by/2025--noema-ai-is-evolving-changing-understanding-intelligence.md
Essays & Op-Eds	Read	In the Beginning, There Was Computation	By Blaise Agüera y Arcas / Nautilus | August 2024	https://nautil.us/in-the-beginning-there-was-computation-787023/	fetched	by/2024--nautilus-in-the-beginning-there-was-computation.md
Essays & Op-Eds	Read	Our attitudes towards AI reveal how we really feel about human intelligence	By Blaise Agüera y Arcas / The Guardian | July 2024	https://www.theguardian.com/technology/article/2024/jul/03/ai-human-intelligence	fetched	by/2024--guardian-attitudes-towards-ai-human-intelligence.md
Essays & Op-Eds	Read	Artificial General Intelligence Is Already Here	By Blaise Agüera y Arcas and Peter Norvig / Noema Magazine | October 2023	https://www.noemamag.com/artificial-general-intelligence-is-already-here/	fetched	by/2023--noema-agi-is-already-here.md
Essays & Op-Eds	Read	Fears about AI’s existential risk are overdone, says a group of experts	By Blaise Agüera y Arcas / The Economist | July 2023	https://www.economist.com/by-invitation/2023/07/21/fears-about-ais-existential-risk-are-overdone-says-a-group-of-experts	fetched	by/2023--economist-fears-about-ai-existential-risk-overdone.md
Essays & Op-Eds	Read	The Illusion Of AI’s Existential Risk	By Blake Richards, Blaise Agüera y Arcas, Guillaume Lajoie and Dhanya Sridhar / Noema Magazine | July 2023	https://www.noemamag.com/the-illusion-of-ais-existential-risk/	fetched	by/2023--noema-illusion-of-ai-existential-risk.md
Essays & Op-Eds	Read	1011 theses on the concept of nonhuman intelligence	By Blaise Agüera y Arcas / Medium | September 2022	https://medium.com/@blaisea/1011-theses-on-the-concept-of-nonhuman-intelligence-7a4cf78d06e7	fetched	by/2022--medium-1011-theses-nonhuman-intelligence.md
Essays & Op-Eds	Read	Can machines learn how to behave?	By Blaise Agüera y Arcas / Medium | August 2022	https://medium.com/@blaisea/can-machines-learn-how-to-behave-42a02a57fadb	fetched	by/2022--medium-can-machines-learn-how-to-behave.md
Essays & Op-Eds	Read	The Model Is The Message	By Blaise Agüera y Arcas / Noema Magazine | July 2022	https://www.noemamag.com/the-model-is-the-message/	fetched	by/2022--noema-the-model-is-the-message.md
Essays & Op-Eds	Read	Artificial neural networks are making strides towards consciousness, according to Blaise Agüera y Arcas	By Blaise Agüera y Arcas / The Economist | June 2022	https://www.economist.com/by-invitation/2022/09/02/artificial-neural-networks-are-making-strides-towards-consciousness-according-to-blaise-aguera-y-arcas	not-fetched	
Essays & Op-Eds	Read	Do large language models understand us?	By Blaise Agüera y Arcas / Medium | December 2021	https://medium.com/@blaisea/do-large-language-models-understand-us-6f881d6d8e75	fetched	by/2021--medium-do-large-language-models-understand-us.md
Essays & Op-Eds	Read	Do algorithms reveal sexual orientation or just expose our stereotypes?	By Blaise Agüera y Arcas / Medium | January 2018	https://medium.com/@blaisea/do-algorithms-reveal-sexual-orientation-or-just-expose-our-stereotypes-d998fafdf477	fetched	by/2018--medium-do-algorithms-reveal-sexual-orientation.md
Essays & Op-Eds	Read	Physiognomy’s New Clothes	By Blaise Agüera y Arcas, Margaret Mitchell and Alexander Todorov / Medium | May 2017	https://medium.com/@blaisea/physiognomys-new-clothes-f2d4b59fdd6a	fetched	by/2017--medium-physiognomys-new-clothes.md
Essays & Op-Eds	Read	Art in the Age of Machine Intelligence	By Blaise Agüera y Arcas / Medium | February 2016	https://medium.com/artists-and-machine-intelligence/what-is-ami-ccd936394a83	fetched	by/2016--medium-art-in-the-age-of-machine-intelligence.md
